Рыба №	Опыт №	Проба №	Маршрут
4	14	2	ПОФФООИЛБЛКШХЦЩГ+ЗССЗЗЗГ-ЗССЗГ-ЩЦХША+КЛЛИООФХША-ККШХЦЦХША-ШХЦЩГ-ЗССЗГ-ЗЗГ-ЗЗЩЦХШКИООИКА-ШХЦЩГ-ЗССЗЩЦХША-ШХЦЩЗСТ
4	14	3	ПОФХША+ШХХША-ШХЦЩГ+ЩЦХША-А-КИФХХЦГ-Г-ЩЦЦЩГ-ЗССЗКЛЛЖСЗГ-ЗСТ
4	15	1	ПОФХША+КЛБЕССССЕЛЛЕСДА-А-ДССДШХЦЩЗСТ
4	15	2	ПОМКЗСТ
4	15	3	ПОФЦЦФООООИЛБЕСДССДА+ШХЦЦФФХША-А-А-ККА-ДССДА-ШХФООИЛБЕСДА-ШШДСССР
4	16	1	НОФФООФХША+ШХФООММИЛЕЕЛКА-А-А-ШХЦЩГ+Г-Г-Г-Г-КЛЖССЖВЛКГ-Г-ЗЗЩЦХША-ШХЦЗССЗЩЦХША-ШХЦГ-ЗСЖЛКЗЗГ-ЗССЗЩЦХША-ДССДА-ШХЦГ-ЗЗЩЦХША-ДССДШХЦЗССЗЩЦХША-ШХЦЩЗСЖЛКГ-ЩЦХША-А-ШХЦЩЗССЗЩЦХКЛЕР
4	16	2	НОФХШККШХЦЦХШДСЕЛКШХЦЦХШШХЦЦХХЦЩЗССЗГ+ЩЦХХЦЩЗССЗЩЦХША+ДСР
4	16	3	НОФХША+ККА-ШХХШККА-КЛБЛККЛЕР
4	16	4	НОФЦЩГ+ЩЦЦГ-КЛЖСЗЗСТ
4	17	1	ПОООФХША+ШХЦЦФФХША-КЛЛИООФЦЦХХЦЩГ+ЗССЗЦЦЗССЗГ-Г-Г-ЗССЗГ-ЦХШДССДА-А-А-ШХХША-ДСРРЕЛКА-А-А-ДССДА-А-ШХЦЗЗГ-ЗССЗГ-ШЦХХЦЗССЗГ-Г-ЩЦХША-ККДССДА-А-ШХЦЗССЗГ-Г-ЩЦХА-ДССДА-ШХЦЗСТ
4	17	2	НОФХША+ККШХЦЦХША-ШХЦЗЗГ+ЗСЖЛКГ-ЩЦХША-ККА-ШХЦЗССЗЩЦЦЗССЗЦХШДССДШХЦЗССЗЩЦЦЦХШШХЦЗССЗЩЦХША-ДДКЛЕСДА-ДСР
